gid,district_code,district_name,kad_nomer,address_ru,shape_area,squ,land_id,rka,source_srs
423018,02034,Хромтауский (02-034),02034002006,"обл. Актюбинская, р-н Хромтауский, с.о. Абайский",1884034.47951462,1890000,,,EPSG:32640
423019,02034,Хромтауский (02-034),02034005004,"обл. Актюбинская, р-н Хромтауский, с.о. Кызылсуский, с. Кызылсу, ул. Бирлик, д. 1К",35.500799841306,36,,0201300241676807,EPSG:32640
423020,02034,Хромтауский (02-034),02034006001,"обл. Актюбинская, р-н Хромтауский, с.о. Кызылсуский, с. Кызылсу",1572697.7056768,1574000,,,EPSG:32640
423021,02034,Хромтауский (02-034),020340361224,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский, с. Тамды, ул. Тауелсиздик, д. 1А",2498.93600049451,2500,,0201800084695324,EPSG:32640
423022,02034,Хромтауский (02-034),02034023319,"обл. Актюбинская, р-н Хромтауский, с.о. Аккудыкский, с. Аккудык, ул. Тауелсиздик, д. 3А",2498.38824011689,2500,,0201900086294859,EPSG:32640
423023,02034,Хромтауский (02-034),02034016323,"обл. Актюбинская, р-н Хромтауский",6554136.1102444,6560000,,,EPSG:32640
423024,02034,Хромтауский (02-034),020340361181,"обл. Актюбинская, р-н Хромтауский, с.о. Богетсайский, с. Богетсай, ул. Алии Молдагуловой, ст-е 9",8394.23120093107,8397,,0201700064110969,EPSG:32640
423025,02034,Хромтауский (02-034),020340071672,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, с. Акжар, ул. Айтеке Би, д. 22А",1498.7486661444,1500,,0201900085956554,EPSG:32640
423026,02034,Хромтауский (02-034),020340201019,"обл. Актюбинская, р-н Хромтауский, с.о. Кудыксайский",3858229.31208329,3860000,,,EPSG:32640
423027,02034,Хромтауский (02-034),020340201020,"обл. Актюбинская, р-н Хромтауский, с.о. Кудыксайский",3436251.13092039,3438000,,,EPSG:32640
423028,02034,Хромтауский (02-034),020340201021,"обл. Актюбинская, р-н Хромтауский, с.о. Кудыксайский",4998138.90811101,5000000,,,EPSG:32640
423029,02034,Хромтауский (02-034),02034008236,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, ст. Жазык, ул. Темиржолшылар, д. 11А",999.175679917988,1000,,0201900125322953,EPSG:32640
423030,02034,Хромтауский (02-034),02034006004,"обл. Актюбинская, р-н Хромтауский, с.о. Кызылсуский",3038187.19989484,3040000,,,EPSG:32640
423031,02034,Хромтауский (02-034),02034006005,"обл. Актюбинская, р-н Хромтауский, с.о. Кызылсуский",6729338.03238365,6735000,,,EPSG:32640
423032,02034,Хромтауский (02-034),02034006006,"Актюбинская область Хромтауский район, на землях ПК Джангельдина ориен.мест., уч. крестьянское хозяйство",89965.7907841296,90000,,,EPSG:32640
423035,02034,Хромтауский (02-034),02034006013,"обл. Актюбинская, р-н Хромтауский, с.о. Кызылсуский",80349.8834294608,83000,,,EPSG:32640
423039,02034,Хромтауский (02-034),02034016153,"Актюбинская область, Хромтауский район, станция Никельтау",18730.4286322658,18750,,,EPSG:32640
423040,02034,Хромтауский (02-034),02034016004,"обл. Актюбинская, р-н Хромтауский, с. Никельтау, ул. Оркениет, д. 1К",14235.1752988569,14251,,0201300227344501,EPSG:32640
423041,02034,Хромтауский (02-034),02034014133,"обл. Актюбинская, р-н Хромтауский, с.о. Кызылсуский, с. Сарысай, ул. Биринши Май, д. 11",1118.10434234262,1118,,0201300047377808,EPSG:32640
423042,02034,Хромтауский (02-034),020340211120,"обл. Актюбинская, р-н Хромтауский, с.о. Коктобинский, с. Майтобе, ул. Достык, д. 6",2498.89153770249,2500,,0201300229793409,EPSG:32640
423043,02034,Хромтауский (02-034),02034002272,"обл. Актюбинская, р-н Хромтауский",349677.655047386,350000,,,EPSG:32640
423044,02034,Хромтауский (02-034),02034011086,"Актюбинская область, Хромтауский район, село Копа, улица Елькеева, дом 18, квартира 1",1369.99757119331,1371,,,EPSG:32640
423045,02034,Хромтауский (02-034),02034035996,"обл. Актюбинская, р-н Хромтауский, с.о. Тасоткельский, с. Тасоткель, ул. Сай, уч. 26",1527.01465557394,1527,,2202300003123003,EPSG:32640
423046,02034,Хромтауский (02-034),02034035175,"обл. Актюбинская, р-н Хромтауский, с.о. Тасоткельский",90553.606944398,90600,,,EPSG:32640
423047,02034,Хромтауский (02-034),02034038140,"обл. Актюбинская, р-н Хромтауский, с.о. Коктауский",6366.26350032161,6400,,,EPSG:32640
423048,02034,Хромтауский (02-034),02034021375,"обл. Актюбинская, р-н Хромтауский, с.о. Коктауский, с. Коктау, ул. Ленина, д. 19А",340.218210346767,340,,0201300230032000,EPSG:32640
423049,02034,Хромтауский (02-034),02034002174,"обл. Актюбинская, р-н Хромтауский",2787885.63913287,2790000,,,EPSG:32640
423050,02034,Хромтауский (02-034),020340071563,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, с. Акжар, ул. Айтеке Би, д. 3",1795.74626836033,1800,,0201300227261602,EPSG:32640
423051,02034,Хромтауский (02-034),02034008076,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, с. Акжар, зимовка Орташа, д. 1",1197.70763119409,1200,,0201300227774705,EPSG:32640
423052,02034,Хромтауский (02-034),02034008077,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, с. Акжар, зимовка Орташа, д. 2",2001.5756255066,2000,,0201300227776104,EPSG:32640
423053,02034,Хромтауский (02-034),02034018287,"обл. Актюбинская, р-н Хромтауский, с.о. Табантальский, с. Табантал, ул. Табантал, ст-е 159",4795.44309567742,4800,,0201700059217966,EPSG:32640
423054,02034,Хромтауский (02-034),02034017305,"обл. Актюбинская, р-н Хромтауский, с.о. Табантальский, с. Табантал, ул. Табантал, ст-е 160",9990.28910663079,10000,,0201700059218160,EPSG:32640
423055,02034,Хромтауский (02-034),02034022223,"обл. Актюбинская, р-н Хромтауский, с.о. Коктобинский",1959279.25691389,1960000,,,EPSG:32640
423056,02034,Хромтауский (02-034),02034023115,"обл. Актюбинская, р-н Хромтауский, с.о. Аккудыкский, с. Аккудык, ул. Оспанова Курмангали, ст-е 21",1340.58455523453,1341,,0201500029233634,EPSG:32640
423057,02034,Хромтауский (02-034),02034017052,"обл. Актюбинская, р-н Хромтауский, с.о. Табантальский, с. Табантал, ул. Табантал, д. 34",1138.34317788889,1139,,0201300047420900,EPSG:32640
423058,02034,Хромтауский (02-034),02034008195,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, ст. Жазык, ул. Бирлик, ст-е 6",1909.87728340971,1912,,0201600051747990,EPSG:32640
423059,02034,Хромтауский (02-034),02034010229,"обл. Актюбинская, р-н Хромтауский, с.о. Дон",9993808.36567166,10000000.0,,,EPSG:32640
423060,02034,Хромтауский (02-034),02034008196,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, ст. Жазык, ул. Бирлик, д. 21",997.923069609253,1000,,0201700059629168,EPSG:32640
423061,02034,Хромтауский (02-034),02034008173,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский",1655566.7242993,1655567,,,EPSG:32640
423062,02034,Хромтауский (02-034),02034012124,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский",1450890.01434502,1451500,,,EPSG:32640
423063,02034,Хромтауский (02-034),02034024103,"обл. Актюбинская, р-н Хромтауский, с.о. Аккудыкский",25198476.6328693,25210000.0,,,EPSG:32640
423064,02034,Хромтауский (02-034),02034030039,"обл. Актюбинская, р-н Хромтауский, г. Хромтау",31926.8428110149,32000,,,EPSG:32640
423065,02034,Хромтауский (02-034),02034018229,"обл. Актюбинская, р-н Хромтауский, с.о. Табантальский",18421538.3069277,18456000.0,,,EPSG:32640
423066,02034,Хромтауский (02-034),02034036039,"Актюбинская обл. Хромтауский р-н., Бугетсайский с/о, с. Бугетсай, уч. ",133638.674093485,133700,,,EPSG:32640
423067,02034,Хромтауский (02-034),02034037074,"обл. Актюбинская, р-н Хромтауский, с.о. Богетсайский, с. Богетсай",8.87938547071319,9,,,EPSG:32640
423069,02034,Хромтауский (02-034),02034024102,"обл. Актюбинская, р-н Хромтауский, с.о. Аккудыкский",12254437.2019648,12260000.0,,,EPSG:32640
423070,02034,Хромтауский (02-034),02034032197,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский",59.5070318474945,60,,,EPSG:32640
423071,02034,Хромтауский (02-034),02034038185,"обл. Актюбинская, р-н Хромтауский, с.о. Тасоткельский",276.026504175867,276,,,EPSG:32640
423072,02034,Хромтауский (02-034),02034014301,"обл. Актюбинская, р-н Хромтауский, с.о. Кызылсуский",423.009750058318,423,,,EPSG:32640
423073,02034,Хромтауский (02-034),02034032126,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский, с. Тамды, ул. Актобе, д. 14",750.049221999345,750,,0201300246705400,EPSG:32640
423076,02034,Хромтауский (02-034),020340151216,"обл. Актюбинская, р-н Хромтауский, с.о. Тассайский, с. Тассай, ул. Абая, д. 20",1242.97403911861,1244,,0201900096184850,EPSG:32640
423077,02034,Хромтауский (02-034),02034006434,"обл. Актюбинская, р-н Хромтауский, с.о. Кызылсуский",2478985.54746497,2481000,,,EPSG:32640
423078,02034,Хромтауский (02-034),02034037174,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский",9996973.72256965,10000000.0,,,EPSG:32640
423079,02034,Хромтауский (02-034),02034011837,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский, с. Копа, ул. Орь, уч. 3",325.098568355154,324,,2201300228837095,EPSG:32640
423080,02034,Хромтауский (02-034),02034036516,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский, с. Тамды, ул. Ардагерлер, д. 12, кв. 1",1236.89872392985,1237,,1201300222862428,EPSG:32640
423081,02034,Хромтауский (02-034),02034011039,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский, с. Тамды, ул. Актобе, д. 4А, кв. 1",1275.93722219627,1276,,1201400014341256,EPSG:32640
423082,02034,Хромтауский (02-034),02034024155,"обл. Актюбинская, р-н Хромтауский, с.о. Коктауский, с. Коктау, ул. Геологтар, д. 6, кв. 4",7666874.01458683,7700000,,1201300222654828,EPSG:32640
423083,02034,Хромтауский (02-034),02034038139,"обл. Актюбинская, р-н Хромтауский, с.о. Тасоткельский",62406.6733146159,62500,,,EPSG:32640
423084,02034,Хромтауский (02-034),02034036537,"обл. Актюбинская, р-н Хромтауский, с.о. Богетсайский, с. Богетсай, ул. Нурата Орынбаева, д. 4",1253.19300086701,1255,,0201300234304501,EPSG:32640
423085,02034,Хромтауский (02-034),020340121002,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский, с. Копа, ул. Маншук Маметовой, ст-е 20",2229.49533148813,2235,,0201700070006460,EPSG:32640
423086,02034,Хромтауский (02-034),02034012028,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский, с. Тамды, ул. Тауелсиздик, уч. 3",1508.90685463201,1509,,2201300044754193,EPSG:32640
423087,02034,Хромтауский (02-034),02034004136,"обл. Актюбинская, р-н Хромтауский, с.о. Кудыксайский",29981877.8919792,30000000.0,,,EPSG:32640
423088,02034,Хромтауский (02-034),02034037170,"обл. Актюбинская, р-н Хромтауский, с.о. Богетсайский",3998837.89985702,4000000,,,EPSG:32640
423089,02034,Хромтауский (02-034),02034007161,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, с. Акжар, ул. С.Имашева, д. 8",1457.66912600826,1459,,0201300047417703,EPSG:32640
423090,02034,Хромтауский (02-034),02034007162,"Актюбинская область, Хромтауский район, село Акжар, улица Момыш улы, дом 19",1243.57830880544,1243,,,EPSG:32640
423091,02034,Хромтауский (02-034),02034036188,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский, с. Тамды, ул. Куандыка Шангытбаева, д. 3, кв. 1",2309.75070648511,2310,,1201300049169329,EPSG:32640
423092,02034,Хромтауский (02-034),020340111181,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский, с. Копа, ул. Байсеркеша Нурлыбаева, д. 9, кв. 2",2370.69330932161,2371,,1201300222797424,EPSG:32640
423093,02034,Хромтауский (02-034),020340071610,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, с. Акжар, ул. М.Маметовой, д. 8, кв. 2",1027.08793828529,1028,,1201300588175422,EPSG:32640
423094,02034,Хромтауский (02-034),020340071611,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, с. Акжар, ул. Ж.Кереева, д. 14",1224.83912681537,1226,,0201300725073602,EPSG:32640
423095,02034,Хромтауский (02-034),02034004123,"обл. Актюбинская, р-н Хромтауский, с.о. Кудыксайский",4229485.10623707,4230000,,,EPSG:32640
423097,02034,Хромтауский (02-034),02034012070,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский, с. Тамды, ул. Ардагерлер, д. 12, кв. 1",19657.9706770131,19672,,1201300222862428,EPSG:32640
423098,02034,Хромтауский (02-034),020340071612,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, с. Акжар, ул. Д.Конаева, д. 64, кв. 2",1046.07297277797,1047,,1201700072708082,EPSG:32640
423099,02034,Хромтауский (02-034),02034007163,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, с. Акжар",402.140262013678,400,,,EPSG:32640
423100,02034,Хромтауский (02-034),02034021034,"обл. Актюбинская, р-н Хромтауский, с.о. Коктауский, с. Коктау, ул. Ленина, уч. 11Б",1090.3936386871,1091,,2201500051326962,EPSG:32640
423101,02034,Хромтауский (02-034),02034011049,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский, с. Тамды, ул. Алии Молдагуловой, д. 7, кв. 2",1067.10408478414,1070,,1201300222853725,EPSG:32640
423102,02034,Хромтауский (02-034),02034021037,"обл. Актюбинская, р-н Хромтауский, с.о. Коктауский, с. Коктау, ул. Жагалау, д. 8, кв. 3",998.666567416066,999,,1201700079535689,EPSG:32640
423103,02034,Хромтауский (02-034),02034025279,"обл. Актюбинская, р-н Хромтауский, с. Никельтау, ул. Курылысшылар, ст-е 7",998.923348615089,1000,,0201700065678263,EPSG:32640
423104,02034,Хромтауский (02-034),02034036882,"обл. Актюбинская, р-н Хромтауский, с.о. Богетсайский, с. Богетсай, ул. Алии Молдагуловой, д. 2",1734.20075154833,1736,,0201300223375701,EPSG:32640
423105,02034,Хромтауский (02-034),02034036648,"обл. Актюбинская, р-н Хромтауский, с.о. Богетсайский, с. Богетсай, ул. Алии Молдагуловой, д. 4",1054.7087203406,1055,,0201300223380405,EPSG:32640
423106,02034,Хромтауский (02-034),020340071657,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, с. Акжар, ул. Д.Конаева, д. 33",1254.68005952534,1256,,0201300047390804,EPSG:32640
423107,02034,Хромтауский (02-034),020340071658,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, с. Акжар, ул. Д.Конаева, ст-е 33А",1241.39594477985,1243,,0201700065674365,EPSG:32640
423108,02034,Хромтауский (02-034),02034011118,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский, с. Копа, ул. Байсеркеша Нурлыбаева, д. 21",1268.14298850589,1269,,0201300047371201,EPSG:32640
423109,02034,Хромтауский (02-034),02034021706,"обл. Актюбинская, р-н Хромтауский, с.о. Коктауский, с. Коктау, ул. Нурлы Кош, ст-е 86",999.54693165493,1000,,0201700065907369,EPSG:32640
423110,02034,Хромтауский (02-034),02034033109,"обл. Актюбинская, р-н Хромтауский",15994.8501190601,16000,,,EPSG:32640
423111,02034,Хромтауский (02-034),020340071659,"Актюбинская область, Хромтауский район, Акжарский Тассайский и Абайский сельский округ",165.043569778535,165,,,EPSG:32640
423112,02034,Хромтауский (02-034),02034016016,"обл. Актюбинская, р-н Хромтауский, с. Никельтау",12413.8360081812,12400,,,EPSG:32640
423113,02034,Хромтауский (02-034),02034018259,"обл. Актюбинская, р-н Хромтауский, с.о. Табантальский",2383080.49697144,2385000,,,EPSG:32640
423114,02034,Хромтауский (02-034),02034029003,"обл. Актюбинская, р-н Хромтауский",2667.83000544125,2690,,,EPSG:32640
423115,02034,Хромтауский (02-034),02034033073,"обл. Актюбинская, р-н Хромтауский, с.о. Богетсайский, с. Богетсай",25814.739592101,25800,,,EPSG:32640
423116,02034,Хромтауский (02-034),02034037116,"обл. Актюбинская, р-н Хромтауский, с.о. Богетсайский, с. Богетсай",4108677.1170219,4110000,,,EPSG:32640
423119,02034,Хромтауский (02-034),02034017316,"обл. Актюбинская, р-н Хромтауский, с.о. Табантальский, с. Табантал, ул. Табантал, ст-е 23А",953.16414554984,929,,0201800074916421,EPSG:32640
423121,02034,Хромтауский (02-034),02034005132,"обл. Актюбинская, р-н Хромтауский, с.о. Кызылсуский, с. Кызылсу, ул. Бирлик, д. 48",1448.7413375673,1450,,0201300241722208,EPSG:32640
423122,02034,Хромтауский (02-034),02034014313,"обл. Актюбинская, р-н Хромтауский",2268136.41729025,2270000,,,EPSG:32640
423123,02034,Хромтауский (02-034),02034007164,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, с. Акжар, ул. Шиловского, уч. 8",2159.01569083455,2160,,2201300044763597,EPSG:32640
423124,02034,Хромтауский (02-034),02034018026,"обл. Актюбинская, р-н Хромтауский, с.о. Табантальский",8114402.50530034,8122000,,,EPSG:32640
423125,02034,Хромтауский (02-034),02034018035,"обл. Актюбинская, р-н Хромтауский, с.о. Табантальский",1558848.66115226,1560000,,,EPSG:32640
423126,02034,Хромтауский (02-034),02034016235,"обл. Актюбинская, р-н Хромтауский, с.о. Тассайский",1099052.6442678,1100000,,,EPSG:32640
423127,02034,Хромтауский (02-034),02034015122,"обл. Актюбинская, р-н Хромтауский, с.о. Тассайский, с. Тассай, ул. Орталык, д. 4",2075.25178813195,2077,,0201300227071102,EPSG:32640
423128,02034,Хромтауский (02-034),02034015123,"обл. Актюбинская, р-н Хромтауский, с.о. Тассайский, с. Тассай, ул. Абая, д. 15А",1810.64626316051,1809,,0201300226859704,EPSG:32640
423129,02034,Хромтауский (02-034),02034015121,"обл. Актюбинская, р-н Хромтауский, с.о. Тассайский, с. Тассай, ул. Кобыланды Батыр, д. 8",2500.98268090577,2500,,0201300227064004,EPSG:32640
423130,02034,Хромтауский (02-034),02034017293,"обл. Актюбинская, р-н Хромтауский, с.о. Табантальский, с. Табантал, ул. Табантал, д. 127",1232.26841801128,1233,,0201300229419105,EPSG:32640
423131,02034,Хромтауский (02-034),02034036600,"обл. Актюбинская, р-н Хромтауский, с.о. Богетсайский, с. Богетсай, ул. Сырлыбая Бекбаева, д. 30",1100.72831499242,1101,,0201300234379401,EPSG:32640
423132,02034,Хромтауский (02-034),02034036199,"обл. Актюбинская, р-н Хромтауский, с.о. Богетсайский, с. Богетсай, ул. Сырлыбая Бекбаева, д. 14",759.993315572944,760,,0201300234340508,EPSG:32640
423133,02034,Хромтауский (02-034),02034036006,"обл. Актюбинская, р-н Хромтауский, г. Хромтау, ул. Асфальтная, д. 5",862.128687891714,860,,0201300239479803,EPSG:32640
423134,02034,Хромтауский (02-034),02034025056,"обл. Актюбинская, р-н Хромтауский, с. Никельтау, ул. Оркениет, д. 48",1878.84868839822,1880,,0201300227369400,EPSG:32640
423135,02034,Хромтауский (02-034),02034036601,"обл. Актюбинская, р-н Хромтауский, с.о. Богетсайский, с. Богетсай, ул. Тахау Байсадакова, ст-е 53",1995.67276196837,1996,,0201500028646239,EPSG:32640
423136,02034,Хромтауский (02-034),02034036437,"обл. Актюбинская, р-н Хромтауский, с.о. Богетсайский, с. Богетсай, ул. Акимали Каржауова, д. 1",1995.93216340905,1996,,0201300217128704,EPSG:32640
423138,02034,Хромтауский (02-034),02034007542,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, с. Акжар, ул. Б.Момышулы, уч. 77",1997.88832937346,2000,,2201500052870765,EPSG:32640
423139,02034,Хромтауский (02-034),02034019045,"обл. Актюбинская, р-н Хромтауский, с.о. Кудыксайский, с. Кудыксай, ул. Мектеп, д. 5",1590.84007685892,1591,,0201300229688506,EPSG:32640
423140,02034,Хромтауский (02-034),02034037176,"обл. Актюбинская, р-н Хромтауский",1999416.57466087,2000000,,,EPSG:32640
423141,02034,Хромтауский (02-034),02034007462,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, с. Акжар, ул. Айтеке Би, д. 15",1019.11042344662,1020,,0201300047405501,EPSG:32640
423142,02034,Хромтауский (02-034),02034037177,"обл. Актюбинская, р-н Хромтауский, с.о. Богетсайский",399860.401488276,400000,,,EPSG:32640
423143,02034,Хромтауский (02-034),020340361188,"обл. Актюбинская, р-н Хромтауский, с.о. Богетсайский, с. Богетсай, ул. Омирали Аргынбаева, ст-е 13Г",3998.72471549704,4000,,0201600053230292,EPSG:32640
423144,02034,Хромтауский (02-034),02034036169,"обл. Актюбинская, р-н Хромтауский, с.о. Богетсайский, с. Богетсай, ул. Шангытбая Куанышова, д. 36",832.878506253293,833,,0201300234519108,EPSG:32640
423145,02034,Хромтауский (02-034),02034025017,"обл. Актюбинская, р-н Хромтауский, с. Никельтау, ул. Оркениет, д. 4В",70.407505218453,70,,0201300229368801,EPSG:32640
423146,02034,Хромтауский (02-034),02034026010,"обл. Актюбинская, р-н Хромтауский, г. Хромтау, ул. Окраина, д. 25",29727.2303954734,29752,,0201300226172805,EPSG:32640
423147,02034,Хромтауский (02-034),02034026016,"обл. Актюбинская, р-н Хромтауский, г. Хромтау, ул. ОКРАИНА 2, ст-е 2",150408.009861042,150505,,0201300330412305,EPSG:32640
423148,02034,Хромтауский (02-034),02034026001,"обл. Актюбинская, р-н Хромтауский, г. Хромтау, ул. Окраина, ст-е 2А",137397.464460568,137682,,0201300144055509,EPSG:32640
423149,02034,Хромтауский (02-034),02034026017,"обл. Актюбинская, р-н Хромтауский, г. Хромтау, ул. Окраина, д. 10",42338.6353097547,42371,,0201300144095009,EPSG:32640
423150,02034,Хромтауский (02-034),020340361222,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский, с. Тамды",763.359958644668,763,,,EPSG:32640
423151,02034,Хромтауский (02-034),02034032178,"обл. Актюбинская, р-н Хромтауский, с.о. Тассайский",168.119493494876,168,,,EPSG:32640
423152,02034,Хромтауский (02-034),02034032182,"обл. Актюбинская, р-н Хромтауский, с.о. Копинский",327.193738349036,328,,,EPSG:32640
423153,02034,Хромтауский (02-034),02034013168,"обл. Актюбинская, р-н Хромтауский, с.о. Кызылсуский",421.570796021091,422,,,EPSG:32640
423154,02034,Хромтауский (02-034),02034014302,"обл. Актюбинская, р-н Хромтауский, с.о. Кызылсуский",147.847385408897,148,,,EPSG:32640
423155,02034,Хромтауский (02-034),020340071543,"обл. Актюбинская, р-н Хромтауский, с.о. Акжарский, с. Акжар, зимовка Шолаксай, д. 1, кв. 2",639.099543250014,640,,1201300588087323,EPSG:32640
