gid,district_code,district_name,kad_nomer,address_ru,shape_area,squ,land_id,rka,source_srs
551670,02038,Кандыагаш (02-038),020380024978,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, мкр. Жанаконыс, д. 311",999.307410678761,1000,,0202000212815320,EPSG:32640
551672,02038,Кандыагаш (02-038),020380024979,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, мкр. Жанаконыс, д. 30",999.173453403174,1000,,0202000211030825,EPSG:32640
551673,02038,Кандыагаш (02-038),02038001018,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш",504.338927371933,504.733,,,EPSG:32640
551675,02038,Кандыагаш (02-038),02038002498,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Есет Батыр, д. 17Б",817.493758038057,818,,0201300050902806,EPSG:32640
551677,02038,Кандыагаш (02-038),02038001569,"Актюбинская область, Мугалжарский район, город Кандыагаш, улица Нефтяников, дом №29, квартира 2",1220.44621968151,1222,,,EPSG:32640
551678,02038,Кандыагаш (02-038),02038001570,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Алтынды, д. 104А",957.257853821842,959,,0201300050904607,EPSG:32640
551679,02038,Кандыагаш (02-038),02038002228,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Илияс Жансугиров, д. 36",1357.05461440708,1360,,0201300046816104,EPSG:32640
551680,02038,Кандыагаш (02-038),02038001422,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Салим Шынтасов, уч. 5",1234.79647064826,1237,,2201300046546496,EPSG:32640
551681,02038,Кандыагаш (02-038),02038002939,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Амангелды Иманов, д. 42",667.059898810253,667,,0201300048041507,EPSG:32640
551682,02038,Кандыагаш (02-038),02038002331,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Амангелды Иманов, д. 15Д",990.909120794372,994,,0201400020068383,EPSG:32640
551683,02038,Кандыагаш (02-038),02038001152,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Кобелей, уч. 29",934.79399399495,935,,2201300048370899,EPSG:32640
551685,02038,Кандыагаш (02-038),02038001815,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, г.к. Кандыагаш, д. 189",801.046054729396,802,,0201300322110607,EPSG:32640
551687,02038,Кандыагаш (02-038),02038001836,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Ахмет Байтұрсынов, д. 9А",801.139827341213,802,,0201300046818808,EPSG:32640
551688,02038,Кандыагаш (02-038),02038001614,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, г.к. Кандыагаш, г-ж 163",25.1898019832842,25,,0201300229964902,EPSG:32640
551689,02038,Кандыагаш (02-038),02038001094,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Рахымжан Кошкарбаев, уч. 29",839.831030047144,840,,2201300048357899,EPSG:32640
551690,02038,Кандыагаш (02-038),02038001436,"Актюбинская область, город Кандыагаш, улица Шынтасов (Ленина),  дом 15 кв 1",1299.99517150844,1302,,,EPSG:32640
551691,02038,Кандыагаш (02-038),02038001624,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Ахмет Байтұрсынов, д. 11А",600.939034210652,601,,0201300086735507,EPSG:32640
551694,02038,Кандыагаш (02-038),020380011573,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Кобелей, ст-е 21Б",1998.50481138063,2000,,0201600045648598,EPSG:32640
551696,02038,Кандыагаш (02-038),020380025024,"Актюбинская область, Мугалжарский район, город Кандыагаш, микрорайон ""Самал"", квартал 10, №181",949.404264787482,950,,,EPSG:32640
551697,02038,Кандыагаш (02-038),020380025025,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, мкр. Самал, кв-л 11, д. 165",949.248864018576,950,,0202000230615025,EPSG:32640
551698,02038,Кандыагаш (02-038),020380025026,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, мкр. Жанаконыс, д. 82",999.156909013473,1000,,0202000225515720,EPSG:32640
551699,02038,Кандыагаш (02-038),020380025027,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, мкр. Самал, кв-л 10, д. 192",949.25099218496,950,,0202000225157022,EPSG:32640
551700,02038,Кандыагаш (02-038),020380021419,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ПКСГ Гаражи, лин. 3, г-ж 19",29.8862887714466,30,,0201300230176205,EPSG:32640
551702,02038,Кандыагаш (02-038),020380025029,"Актюбинская область, Мугалжарский район, город Кандыагаш, микрорайон ""Самал"", квартал 10, №505",949.172421607597,950,,,EPSG:32640
551704,02038,Кандыагаш (02-038),02038002632,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Есет Батыр, д. 26А",445.424269094087,445,,0201300050873408,EPSG:32640
551705,02038,Кандыагаш (02-038),02038002940,"Актюбинская область, Мугалжарский район, город Кандыагаш, пер. Кирова, дом 26",518.290978765061,518,,,EPSG:32640
551706,02038,Кандыагаш (02-038),02038002941,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Султанмахмут Торайгыров, д. 30",362.047381281141,362,,0201300048054402,EPSG:32640
551707,02038,Кандыагаш (02-038),02038001572,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Ахмет Байтұрсынов, д. 7",1000.7193600619,1000,,0201300048154803,EPSG:32640
551708,02038,Кандыагаш (02-038),02038002942,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Алтынды, д. 75А",961.760128589533,963,,0201300050903900,EPSG:32640
551710,02038,Кандыагаш (02-038),02038002943,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Омаш Омирбаев, д. 30А",799.355056520849,800,,0201400024246183,EPSG:32640
551711,02038,Кандыагаш (02-038),02038002944,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Төлеген Айбергенов, д. 95А",998.964851326877,1000,,0201300052556302,EPSG:32640
551712,02038,Кандыагаш (02-038),02038002945,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Омаш Омирбаев, д. 12А",1998.58820840138,2000,,0201700064018860,EPSG:32640
551713,02038,Кандыагаш (02-038),02038001573,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Салим Шынтасов, д. 31",999.637100910586,1000,,0201300048181203,EPSG:32640
551714,02038,Кандыагаш (02-038),02038001574,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Салим Шынтасов, д. 33",998.243690313132,1000,,0201300048181407,EPSG:32640
551715,02038,Кандыагаш (02-038),02038001575,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Салим Шынтасов, д. 35",998.67098749584,1000,,0201300048181705,EPSG:32640
551716,02038,Кандыагаш (02-038),02038002947,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Бейбитшилик, д. 12",998.896052334758,1000,,0201300046812108,EPSG:32640
551717,02038,Кандыагаш (02-038),02038002948,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Төлеген Айбергенов, д. 17",1000.72294661915,1000,,0201300048220305,EPSG:32640
551718,02038,Кандыагаш (02-038),020380021428,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ПКСГ Гаражи, лин. 6, г-ж 25",24.2487875632484,24,,0201400004749788,EPSG:32640
551720,02038,Кандыагаш (02-038),020380023799,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Рахымжан Кошкарбаев, д. 77А",999.136205075828,1000,,0201500042054638,EPSG:32640
551721,02038,Кандыагаш (02-038),020380011490,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Нурпеис Байганин, уч. 129Б",371.275705168183,371,,2201500072352366,EPSG:32640
551722,02038,Кандыагаш (02-038),02038004001,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, зд. 3А",71.8467536121839,70,,0201400024369989,EPSG:32640
551723,02038,Кандыагаш (02-038),020380023793,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Промзона, ст-е 39",14087.8844075357,14065,,0201500029379532,EPSG:32640
551724,02038,Кандыагаш (02-038),020380021806,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Промзона, д. 11",22545.160786757,21988,,0201300227330309,EPSG:32640
551725,02038,Кандыагаш (02-038),02038002758,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Амангелды Иманов, д. 36",523.79691373355,523,,0201300048040209,EPSG:32640
551726,02038,Кандыагаш (02-038),020380023547,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Ақорда, д. 2А",999.659511086554,1000,,0201400006870681,EPSG:32640
551727,02038,Кандыагаш (02-038),02038002168,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, пр. Жеңіс, д. 27, кв. 1",1907.61180754146,1905,,1201300047051122,EPSG:32640
551728,02038,Кандыагаш (02-038),020380021789,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Султанмахмут Торайгыров, д. 38",475.202689476424,477,,0201300048055209,EPSG:32640
551730,02038,Кандыагаш (02-038),02038002496,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Асанхан Калиев, ст-е 8А",2383.59143498693,2386,,0201300046822103,EPSG:32640
551731,02038,Кандыагаш (02-038),02038002507,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, мкр. Жастык, ст-е 20М",33.2482242238874,33,,0201900135855350,EPSG:32640
551732,02038,Кандыагаш (02-038),020380022709,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Ер Едиге, д. 72",999.659867650238,1000,,0201400001458383,EPSG:32640
551733,02038,Кандыагаш (02-038),02038002249,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Жамбыл Жабаев, уч. 19Б",1443.57433387354,1445,,2201500067521063,EPSG:32640
551734,02038,Кандыагаш (02-038),02038002301,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш",224.64604166646,225,,,EPSG:32640
551735,02038,Кандыагаш (02-038),02038002302,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш",224.646041652458,225,,,EPSG:32640
551736,02038,Кандыагаш (02-038),020380024173,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, мкр. Жанаконыс, д. 166",999.178435837397,1000,,0202000264815728,EPSG:32640
551737,02038,Кандыагаш (02-038),02038001381,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Мира, д. 16",834.29124333644,835,,0201300048152809,EPSG:32640
551739,02038,Кандыагаш (02-038),02038001038,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, уч. 9",39.6158118856728,40,,2201400038467918,EPSG:32640
551740,02038,Кандыагаш (02-038),02038001039,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ул. Жамбыл Жабаев, зд. 74Г",5457.8099630007,5400,,0201400010172380,EPSG:32640
551741,02038,Кандыагаш (02-038),02038001040,"обл. Актюбинская, р-н Мугалжарский, г. Кандыагаш, ст-е 25",184.2997831739,184,,0201400024367486,EPSG:32640
